name,english_name,operator,output,source,method,wikidata,openinframap_plant_id,openinframap_url,latitude,longitude,coordinate_source,coordinate_confidence,osm_type,osm_id,coordinate_error
نیروگاه حرارتی سهند بناب,Sahand Thermal Power Plant,,650 MW,gas,combustion,Q16053640,374745307,https://openinframap.org/stats/area/Iran/plants/374745307,37.421629,46.014484,wikidata_p625,high,,,
نیروگاه زاگرس کوثر,Zagros Kowsar Power Plant,,648 MW,gas,combustion,Q114098681,1097045001,https://openinframap.org/stats/area/Iran/plants/1097045001,34.352000,47.362400,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی سلطانیه,Soltaniyeh Power Plant,,648 MW,gas,combustion,Q16053629,410679799,https://openinframap.org/stats/area/Iran/plants/410679799,36.561698,48.807703,wikidata_p625,high,,,
نیروگاه گنو,Esin Power Plant,,648 MW,gas,combustion,Q16053933,980603558,https://openinframap.org/stats/area/Iran/plants/980603558,27.302912,56.299209,wikidata_p625,high,,,
نیروگاه بیستون,Bistoon Power Plant,,640 MW,gas,combustion,Q11961175,1097045000,https://openinframap.org/stats/area/Iran/plants/1097045000,34.351415,47.357096,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی شهید کاوه قائن,Shahid Kaveh Power Plant,,630 MW,gas,combustion,Q16053733,261054339,https://openinframap.org/stats/area/Iran/plants/261054339,33.753892,59.152160,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی دالاهو,Dalahoo combined cycle power plant,,614 MW,gas,combustion,Q17994541,860725501,https://openinframap.org/stats/area/Iran/plants/860725501,34.126638,46.576999,wikidata_p625,high,,,
نیروگاه هنگام,Hengam Bandar Abbas Combined Cycle Power Plant,,614 MW,gas,combustion,Q114149367,1097412737,https://openinframap.org/stats/area/Iran/plants/1097412737,27.144600,56.111500,wikidata_p625,high,,,
نیروگاه طوس,Tous Power Plant,,600 MW,gas,combustion,Q5912588,951782282,https://openinframap.org/stats/area/Iran/plants/951782282,36.446389,59.411667,wikidata_p625,high,,,
نیروگاه سیکل ترکیبی راشد,Rashed Torbat Heydarieh Power Plant,Rashed Torbat Heydarieh Power Generation Co.,546 MW,gas,combustion,,1240780335,https://openinframap.org/stats/area/Iran/plants/1240780335,35.367816,59.305122,osm_geometry_bbox_center,medium,way,1240780335,
نیروگاه آبی سد دز,Dez Dam Hydropower Station,,520 MW,hydro,water-storage,Q1207298,307388446,https://openinframap.org/stats/area/Iran/plants/307388446,32.605000,48.463333,wikidata_p625,high,,,
تولید برق غرب کارون مپنا,West Karun Central Power Plant,MAPNA West Karun Power Generation Company,500 MW,gas,combustion,Q16053855,949260209,https://openinframap.org/stats/area/Iran/plants/949260209,31.165000,48.019500,wikidata_p625,high,,,
نیروگاه خورشیدی محمدی,,محمدی,800 kW,solar,photovoltaic,,1389474240,https://openinframap.org/stats/area/Iran/plants/1389474240,29.971137,52.678915,osm_geometry_bbox_center,medium,way,1389474240,
نیروگاه خورشیدی دانشگاه ارومیه,,,400 kW,solar,photovoltaic,,995666227,https://openinframap.org/stats/area/Iran/plants/995666227,37.657628,44.985147,osm_geometry_bbox_center,medium,way,995666227,
نیروگاه 100 کیلوواتی سقفی مبین,100 kW Mobin Energy,,100 kW,solar,photovoltaic,,1148048710,https://openinframap.org/stats/area/Iran/plants/1148048710,32.464910,51.468185,osm_geometry_bbox_center,medium,way,1148048710,
نیروگاه خورشیدی 100 کیلووات گلنور,,,100 kW,solar,photovoltaic,,1148048709,https://openinframap.org/stats/area/Iran/plants/1148048709,32.463605,51.467455,osm_geometry_bbox_center,medium,way,1148048709,
پروژه خورشیدی 20 کیلوواتی شهرستان بروجن,,,20 kW,solar,photovoltaic,,1148051203,https://openinframap.org/stats/area/Iran/plants/1148051203,31.976328,51.315254,osm_geometry_bbox_center,medium,way,1148051203,
نیروگاه خورشیدی زاهدان,Zahedan Solar Power Plant,,15 kW,solar,photovoltaic,,899765517,https://openinframap.org/stats/area/Iran/plants/899765517,29.483172,60.721848,osm_geometry_bbox_center,medium,way,899765517,
نیرو گاه برق خورشیدی دربید,Dorbid Solar Power Plant,,12 kW,solar,photovoltaic,,995550457,https://openinframap.org/stats/area/Iran/plants/995550457,32.110199,54.547447,osm_geometry_bbox_center,medium,way,995550457,
Bandar Imam Power Plant,,,,gas,combustion,,1174013551,https://openinframap.org/stats/area/Iran/plants/1174013551,30.435957,49.109181,osm_geometry_bbox_center,medium,way,1174013551,
Damavand Petrochemical Utility Power Plant,,,,gas,combustion,,931168389,https://openinframap.org/stats/area/Iran/plants/931168389,27.578265,52.530024,osm_geometry_bbox_center,medium,way,931168389,
Dokouheh Power Plant,,,,gas,combustion,,1174454390,https://openinframap.org/stats/area/Iran/plants/1174454390,32.523130,48.217547,osm_geometry_bbox_center,medium,way,1174454390,
