Time,Latitude,Longitude,Actor
2026-03-02T12:00:00Z,33.8591300000489,35.4874400003876,"US, Israel and allies as attacker"
2026-03-02T12:00:00Z,33.8530100001599,35.5160300000123,"US, Israel and allies as attacker"
2026-03-02T12:00:00Z,33.8529999997159,35.516329999588,"US, Israel and allies as attacker"
2026-03-02T12:00:00Z,33.2765899997523,35.5186200001816,"US, Israel and allies as attacker"
2026-03-02T12:00:00Z,34.1966000002462,36.3536500002076,"US, Israel and allies as attacker"
2026-03-02T12:00:00Z,34.3969400002009,36.3851299995772,"US, Israel and allies as attacker"
2026-03-02T12:00:00Z,33.5025,36.3251,Iran and allies as attacker
2026-03-02T12:00:00Z,33.1604,36.1257,Iran and allies as attacker
2026-03-02T12:00:00Z,32.8677,36.2542,Iran and allies as attacker
2026-03-02T12:00:00Z,33.1709,35.8706,Iran and allies as attacker
2026-03-02T12:00:00Z,33.4843,36.6017,Iran and allies as attacker
2026-03-02T12:00:00Z,33.4877,36.3483,Iran and allies as attacker
2026-03-03T03:45:00Z,32.6682399997533,35.1829059995723,Iran and allies as attacker
2026-03-03T06:04:00Z,32.9983299998258,35.4135860001455,Iran and allies as attacker
2026-03-03T06:12:00Z,33.0532100002264,35.7344269997358,Iran and allies as attacker
2026-03-03T12:00:00Z,32.1141,34.9762,Iran and allies as attacker
2026-03-03T12:00:00Z,32.0956,34.9566,Iran and allies as attacker
2026-03-03T12:00:00Z,32.853,35.1987,Iran and allies as attacker
2026-03-03T12:00:00Z,32.0238,34.7519,Iran and allies as attacker
2026-03-03T12:00:00Z,32.0809,34.7806,Iran and allies as attacker
2026-03-03T12:38:00Z,33.2397800003372,35.6088840000292,Iran and allies as attacker
2026-03-03T13:23:00Z,32.1133999998121,34.8403000001357,Iran and allies as attacker
2026-03-03T13:23:00Z,32.0834000002807,34.8880000000384,Iran and allies as attacker
2026-03-03T14:20:00Z,33.3002499996459,35.7012950003553,Iran and allies as attacker
2026-03-03T12:00:00Z,33.6893099998377,35.4393899997823,"US, Israel and allies as attacker"
2026-03-03T12:00:00Z,33.7746100002939,35.500889999928,"US, Israel and allies as attacker"
2026-03-03T12:00:00Z,33.8493599998007,35.5411700000254,"US, Israel and allies as attacker"
2026-03-03T12:00:00Z,34.0078000003292,36.2158400004431,"US, Israel and allies as attacker"
2026-03-03T14:15:00Z,33.3109299999362,35.5685820001905,Iran and allies as attacker
